course_name|url|level|description
Intro to Algorithms|https://www.udacity.com/course/intro-to-algorithms--cs215|Intermediate|This class will give you an introduction to the design and analysis of algorithms, enabling you to analyze networks and discover how individuals are connected.
Interactive 3D Graphics|https://www.udacity.com/course/interactive-3d-graphics--cs291|Intermediate|This course will teach you the principles of 3D computer graphics: meshes, transforms, lighting, animation, and making interactive 3D applications run in a browser.
Programming Languages|https://www.udacity.com/course/programming-languages--cs262|Intermediate|This course is an introduction to the fundamentals of programming languages. Concepts include how to specify and process valid strings, sentences and program structures.
Design of Computer Programs|https://www.udacity.com/course/design-of-computer-programs--cs212|Advanced|Learn how to model problems, and how to optimize performance by using some of the advanced features of Python.
Differential Equations in Action|https://www.udacity.com/course/differential-equations-in-action--cs222|Intermediate|Write Python code to find numerical solutions to systems of differential equations. The models you create will fight wildfires, bring spaceships back to earth, and more!
Software Debugging|https://www.udacity.com/course/software-debugging--cs259|Intermediate|In this course you will learn how to debug programs systematically using scientific methods and build several automated debugging tools in Python.
Intro to Theoretical Computer Science|https://www.udacity.com/course/intro-to-theoretical-computer-science--cs313|Intermediate|Learn the basic concepts in theoretical computer science. Discover what they imply for solving tough computational challenges.
Machine Learning|https://www.udacity.com/course/machine-learning--ud262|Intermediate|In this course, you'll learn how to apply Supervised, Unsupervised and Reinforcement Learning techniques for solving a range of data science problems.
Intro to Physics|https://www.udacity.com/course/intro-to-physics--ph100|Beginner|Go to the places where big physics discoveries were made in the past and make them yourself. You’ll visit Italy, the Netherlands, and the UK as you learn basic physics.
Tales from the Genome|https://www.udacity.com/course/tales-from-the-genome--bio110|Beginner|Learn the basics of genetics, with a personal twist. This class is all about DNA and how it shapes who we are.
Intro to Psychology|https://www.udacity.com/course/intro-to-psychology--ps001|Beginner|Go on a journey through psychological concepts and principles to enable you to gain a more in-depth understanding of human thought and behavior.
OMSCS Student Orientation|https://www.udacity.com/course/omscs-student-orientation--gt101|Beginner|In this OMS Orientation, we cover several things you will need to know to be a successful OMS student.
GT - Refresher - Advanced OS|https://www.udacity.com/course/gt-refresher-advanced-os--ud098|Intermediate|This course covers the essential Operating Systems concepts students need in preparation for the rest of the GT "Advanced Operating Systems" sequence.
Statistics|https://www.udacity.com/course/statistics--st095|Beginner|We live in a time of unprecedented access to information. You'll learn how to use statistics to interpret that information and make decisions.
Engagement & Monetization|https://www.udacity.com/course/engagement-monetization-mobile-games--ud407|Beginner|You will learn the most effective monetization strategies for your game, how to  keep your players interested and engaged, so that your game stands out in the app store.
Networking for Web Developers|https://www.udacity.com/course/networking-for-web-developers--ud256|Beginner|You've used the Internet. Now find out more about how it works.
Front End Frameworks|https://www.udacity.com/course/front-end-frameworks--ud894|Advanced|Explore and build interactive, single-page applications with popular JavaScript frameworks!
Technical Interview|https://www.udacity.com/course/technical-interview--ud513|Intermediate|Learn the skills technical interviewers expect you to know—efficiency, common algorithms, manipulating popular data structures, and how to explain a solution.
